"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1601","GET API -- get all users","chromium","2026-07-18","passed","2026-07-18","@smoke @regression @running e2e go rest crud api tests","api/createuser.spec.ts","",""
"","372","PUT API -- Update a user","chromium","2026-07-18","passed","2026-07-18","@smoke @regression @running e2e go rest crud api tests","api/createuser.spec.ts","",""
"","1569","@smoke @sanity Post API--Create user","chromium","2026-07-18","passed","2026-07-18","","api/nn.spec.ts","",""
"","2577","@smoke registration -BC11122","chromium","2026-07-18","passed","2026-07-18","","registrationPage.spec.ts","",""
"","2635","@smoke Logout Link visible","chromium","2026-07-18","passed","2026-07-18","","homePage.spec.ts","",""
"","1930","@smoke loginPageTitle","chromium","2026-07-18","passed","2026-07-18","","loginpage.spec.ts","",""
"","3666","@smoke @sanity @regression invalidLogin","chromium","2026-07-18","passed","2026-07-18","","loginpagefixtures.spec.ts","",""
"","378","DELETE API -- Delete a user","chromium","2026-07-18","passed","2026-07-18","@smoke @regression @running e2e go rest crud api tests","api/createuser.spec.ts","",""
"","376","Post API--Create user","chromium","2026-07-18","passed","2026-07-18","@smoke @regression @running e2e go rest crud api tests","api/createuser.spec.ts","",""
"","2899","@smoke Logout Link visible","chromium","2026-07-18","passed","2026-07-18","","homepagefix.spec.ts","",""
