"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2213","@sanity @regression invalid user login test-invalid@gm.com","chromium","2026-08-11","passed","2026-08-11","","loginpagefixtures.spec.ts","",""
"","1275","@sanity @regression get started link","chromium","2026-08-11","passed","2026-08-11","","example.spec.ts","",""
"","2705","@sanity @regression verify HomePAge headers List","chromium","2026-08-11","passed","2026-08-11","","homePage.spec.ts","",""
"","2341","@sanity @regression invalid user login test-Playwright@gm.com","chromium","2026-08-11","passed","2026-08-11","","loginpagefixtures.spec.ts","",""
"","374","@P3 PUT API -- Update a user","chromium","2026-08-11","passed","2026-08-11"," @smoke @running e2e go rest crud api tests","api/createuser.spec.ts","",""
"","2620","@sanity homePageTitleTest","chromium","2026-08-11","passed","2026-08-11","","homePage.spec.ts","",""
"","3914","@sanity @regression selectProduct after search- imac - iMac","chromium","2026-08-11","passed","2026-08-11","","searchfix.spec.ts","",""
"","2756","@sanity @regression verify HomePAge headers List","chromium","2026-08-11","passed","2026-08-11","","homepagefix.spec.ts","",""
"","4796","@sanity @regression testImageCount","chromium","2026-08-11","passed","2026-08-11","","productPageFix.spec.ts","",""
"","1857","","chromium","2026-08-11","passed","2026-08-11","","loginpage.spec.ts","",""
"","3790","@sanity @regression selectProduct after search- macbook - MacBook Air","chromium","2026-08-11","passed","2026-08-11","","searchfix.spec.ts","",""
"","2547","@smoke Logout Link visible","chromium","2026-08-11","passed","2026-08-11","","homePage.spec.ts","",""
"","969","@sanity has title","chromium","2026-08-11","passed","2026-08-11","","example.spec.ts","",""
"","386","@P2 Post API--Create user","chromium","2026-08-11","passed","2026-08-11"," @smoke @running e2e go rest crud api tests","api/createuser.spec.ts","",""
"","0","POST-- generate","chromium","2026-08-11","skipped","2026-08-11","","api/oauth2.spec.ts","",""
"","982","@sanity GET--user","chromium","2026-08-11","passed","2026-08-11","","api/userapischema.spec.ts","",""
"","0","GET LOCATION","chromium","2026-08-11","skipped","2026-08-11","","api/oauth2.spec.ts","",""
"","2599","@sanity @regression userIsAbleToLogin","chromium","2026-08-11","passed","2026-08-11","","loginpagefixtures.spec.ts","",""
"","2267","@sanity @regression invalid user login JsonData - abc@gm.com-","chromium","2026-08-11","passed","2026-08-11","","loginpagefixtures.spec.ts","",""
"","1836","forgotPassword","chromium","2026-08-11","passed","2026-08-11","","loginpagefixtures.spec.ts","",""
"","1316","Create, Delete, and Get","chromium","2026-08-11","passed","2026-08-11","","api/user.indi.spec.ts","",""
"","2122","@sanity @regression invalid user login JsonData - abc@gm.com- pass@123","chromium","2026-08-11","passed","2026-08-11","","loginpagefixtures.spec.ts","",""
"","2856","@sanity @regression Get Product result count - MacBook Pro","chromium","2026-08-11","passed","2026-08-11","","searchfix.spec.ts","",""
"","3753","@smoke @sanity @regression invalidLogin","chromium","2026-08-11","passed","2026-08-11","","loginpagefixtures.spec.ts","",""
"","2384","@sanity @regression invalid user login JsonData - - pass@123","chromium","2026-08-11","passed","2026-08-11","","loginpagefixtures.spec.ts","",""
"","2581","userIsAbleToLogin","chromium","2026-08-11","passed","2026-08-11","","loginpage.spec.ts","",""
"","4605","@sanity @regression verify product details","chromium","2026-08-11","passed","2026-08-11","","productPageFix.spec.ts","",""
"","1940","forgotPassword","chromium","2026-08-11","passed","2026-08-11","","loginpage.spec.ts","",""
"","2595","@sanity @regression invalid user login JsonData - playwright@gm.com- Test@123","chromium","2026-08-11","passed","2026-08-11","","loginpagefixtures.spec.ts","",""
"","2301","@sanity @regression invalid user login test-test@gm.com","chromium","2026-08-11","passed","2026-08-11","","loginpagefixtures.spec.ts","",""
"","1868","@smoke @sanity Post API--Create user","chromium","2026-08-11","passed","2026-08-11","","api/nn.spec.ts","",""
"","2412","@sanity homePageTitleTest","chromium","2026-08-11","passed","2026-08-11","","homepagefix.spec.ts","",""
"","1336","@sanity @regression Create, Update And Get","chromium","2026-08-11","passed","2026-08-11","","api/user.indi.spec.ts","",""
"","2733","@smoke Logout Link visible","chromium","2026-08-11","passed","2026-08-11","","homepagefix.spec.ts","",""
"","3875","@sanity @regression selectProduct after search- macbook - MacBook Pro","chromium","2026-08-11","passed","2026-08-11","","searchfix.spec.ts","",""
"","717","@sanity @regression Create And Get","chromium","2026-08-11","passed","2026-08-11","","api/user.indi.spec.ts","",""
"","1781","loginPageTitle","chromium","2026-08-11","passed","2026-08-11","","loginpagefixtures.spec.ts","",""
"","955","@P4 DELETE API -- Delete a user","chromium","2026-08-11","passed","2026-08-11"," @smoke @running e2e go rest crud api tests","api/createuser.spec.ts","",""
"","2242","@sanity @regression invalid user login test-","chromium","2026-08-11","passed","2026-08-11","","loginpagefixtures.spec.ts","",""
"","2441","@sanity @regression registrationPageWithSingleMethods -zBC11122","chromium","2026-08-11","passed","2026-08-11","","registrationPage.spec.ts","",""
"","1945","@smoke loginPageTitle","chromium","2026-08-11","passed","2026-08-11","","loginpage.spec.ts","",""
"","3043","@sanity @regression Get Product result count - MacBook Air","chromium","2026-08-11","passed","2026-08-11","","searchfix.spec.ts","",""
"","2586","@smoke registration -BC11122","chromium","2026-08-11","passed","2026-08-11","","registrationPage.spec.ts","",""
"","3066","@sanity @regression Get Product result count - iMac","chromium","2026-08-11","passed","2026-08-11","","searchfix.spec.ts","",""
"","1284","@P1 GET API -- get all users","chromium","2026-08-11","passed","2026-08-11"," @smoke @running e2e go rest crud api tests","api/createuser.spec.ts","",""
