"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3669","@smoke @sanity @regression invalidLogin","chromium","2026-07-18","passed","2026-07-18","","loginpagefixtures.spec.ts","",""
"","2316","@sanity @regression invalid user login JsonData - abc@gm.com- pass@123","chromium","2026-07-18","passed","2026-07-18","","loginpagefixtures.spec.ts","",""
"","3665","@sanity @regression verify product details","chromium","2026-07-18","passed","2026-07-18","","productPageFix.spec.ts","",""
"","1087","Create, Delete, and Get","chromium","2026-07-18","passed","2026-07-18","","api/user.indi.spec.ts","",""
"","1073","@sanity @regression Create, Update And Get","chromium","2026-07-18","passed","2026-07-18","","api/user.indi.spec.ts","",""
"","2342","@sanity @regression invalid user login test-","chromium","2026-07-18","passed","2026-07-18","","loginpagefixtures.spec.ts","",""
"","374","PUT API -- Update a user","chromium","2026-07-18","passed","2026-07-18","@smoke @regression @running e2e go rest crud api tests","api/createuser.spec.ts","",""
"","2552","@sanity @regression registrationPageWithSingleMethods -zBC11122","chromium","2026-07-18","passed","2026-07-18","","registrationPage.spec.ts","",""
"","2644","@smoke Logout Link visible","chromium","2026-07-18","passed","2026-07-18","","homePage.spec.ts","",""
"","1360","GET API -- get all users","chromium","2026-07-18","passed","2026-07-18","@smoke @regression @running e2e go rest crud api tests","api/createuser.spec.ts","",""
"","2834","@smoke Logout Link visible","chromium","2026-07-18","passed","2026-07-18","","homepagefix.spec.ts","",""
"","2579","@sanity homePageTitleTest","chromium","2026-07-18","passed","2026-07-18","","homepagefix.spec.ts","",""
"","2547","@sanity homePageTitleTest","chromium","2026-07-18","passed","2026-07-18","","homePage.spec.ts","",""
"","2515","@sanity @regression userIsAbleToLogin","chromium","2026-07-18","passed","2026-07-18","","loginpagefixtures.spec.ts","",""
"","1305","@smoke @sanity Post API--Create user","chromium","2026-07-18","passed","2026-07-18","","api/nn.spec.ts","",""
"","2872","@sanity @regression verify HomePAge headers List","chromium","2026-07-18","passed","2026-07-18","","homepagefix.spec.ts","",""
"","2636","userIsAbleToLogin","chromium","2026-07-18","passed","2026-07-18","","loginpage.spec.ts","",""
"","3067","@sanity @regression Get Product result count - iMac","chromium","2026-07-18","passed","2026-07-18","","searchfix.spec.ts","",""
"","2970","@sanity @regression Get Product result count - MacBook Air","chromium","2026-07-18","passed","2026-07-18","","searchfix.spec.ts","",""
"","1958","forgotPassword","chromium","2026-07-18","passed","2026-07-18","","loginpage.spec.ts","",""
"","3948","@sanity @regression selectProduct after search- macbook - MacBook Pro","chromium","2026-07-18","passed","2026-07-18","","searchfix.spec.ts","",""
"","2389","@sanity @regression invalid user login test-test@gm.com","chromium","2026-07-18","passed","2026-07-18","","loginpagefixtures.spec.ts","",""
"","2322","@sanity @regression invalid user login JsonData - - pass@123","chromium","2026-07-18","passed","2026-07-18","","loginpagefixtures.spec.ts","",""
"","2756","@sanity @regression verify HomePAge headers List","chromium","2026-07-18","passed","2026-07-18","","homePage.spec.ts","",""
"","3099","@sanity @regression Get Product result count - MacBook Pro","chromium","2026-07-18","passed","2026-07-18","","searchfix.spec.ts","",""
"","709","@sanity @regression Create And Get","chromium","2026-07-18","passed","2026-07-18","","api/user.indi.spec.ts","",""
"","1948","loginPageTitle","chromium","2026-07-18","passed","2026-07-18","","loginpagefixtures.spec.ts","",""
"","1925","forgotPassword","chromium","2026-07-18","passed","2026-07-18","","loginpagefixtures.spec.ts","",""
"","2334","@sanity @regression invalid user login JsonData - abc@gm.com-","chromium","2026-07-18","passed","2026-07-18","","loginpagefixtures.spec.ts","",""
"","3958","@sanity @regression selectProduct after search- imac - iMac","chromium","2026-07-18","passed","2026-07-18","","searchfix.spec.ts","",""
"","3659","@sanity @regression selectProduct after search- macbook - MacBook Air","chromium","2026-07-18","passed","2026-07-18","","searchfix.spec.ts","",""
"","4335","@sanity @regression testImageCount","chromium","2026-07-18","passed","2026-07-18","","productPageFix.spec.ts","",""
"","2317","@sanity @regression invalid user login test-Playwright@gm.com","chromium","2026-07-18","passed","2026-07-18","","loginpagefixtures.spec.ts","",""
"","373","DELETE API -- Delete a user","chromium","2026-07-18","passed","2026-07-18","@smoke @regression @running e2e go rest crud api tests","api/createuser.spec.ts","",""
"","371","Post API--Create user","chromium","2026-07-18","passed","2026-07-18","@smoke @regression @running e2e go rest crud api tests","api/createuser.spec.ts","",""
"","1","GET LOCATION","chromium","2026-07-18","skipped","2026-07-18","","api/oauth2.spec.ts","",""
"","2612","@smoke registration -BC11122","chromium","2026-07-18","passed","2026-07-18","","registrationPage.spec.ts","",""
"","2309","@sanity @regression invalid user login test-invalid@gm.com","chromium","2026-07-18","passed","2026-07-18","","loginpagefixtures.spec.ts","",""
"","2028","","chromium","2026-07-18","passed","2026-07-18","","loginpage.spec.ts","",""
"","2457","@sanity @regression invalid user login JsonData - playwright@gm.com- Test@123","chromium","2026-07-18","passed","2026-07-18","","loginpagefixtures.spec.ts","",""
"","774","@sanity GET--user","chromium","2026-07-18","passed","2026-07-18","","api/userapischema.spec.ts","",""
"","1052","@sanity @regression get started link","chromium","2026-07-18","passed","2026-07-18","","example.spec.ts","",""
"","1100","@sanity has title","chromium","2026-07-18","passed","2026-07-18","","example.spec.ts","",""
"","1928","@smoke loginPageTitle","chromium","2026-07-18","passed","2026-07-18","","loginpage.spec.ts","",""
"","1","POST-- generate","chromium","2026-07-18","skipped","2026-07-18","","api/oauth2.spec.ts","",""
