"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2663","@smoke registration -BC11122","chromium","2026-08-11","passed","2026-08-11","","registrationPage.spec.ts","",""
"","517","@P4 DELETE API -- Delete a user","chromium","2026-08-11","passed","2026-08-11"," @smoke @running e2e go rest crud api tests","api/createuser.spec.ts","",""
"","1297","@P1 GET API -- get all users","chromium","2026-08-11","passed","2026-08-11"," @smoke @running e2e go rest crud api tests","api/createuser.spec.ts","",""
"","2447","@smoke Logout Link visible","chromium","2026-08-11","passed","2026-08-11","","homepagefix.spec.ts","",""
"","3722","@smoke @sanity @regression invalidLogin","chromium","2026-08-11","passed","2026-08-11","","loginpagefixtures.spec.ts","",""
"","1803","@smoke loginPageTitle","chromium","2026-08-11","passed","2026-08-11","","loginpage.spec.ts","",""
"","357","@P3 PUT API -- Update a user","chromium","2026-08-11","passed","2026-08-11"," @smoke @running e2e go rest crud api tests","api/createuser.spec.ts","",""
"","2743","@smoke Logout Link visible","chromium","2026-08-11","passed","2026-08-11","","homePage.spec.ts","",""
"","356","@P2 Post API--Create user","chromium","2026-08-11","passed","2026-08-11"," @smoke @running e2e go rest crud api tests","api/createuser.spec.ts","",""
"","1401","@smoke @sanity Post API--Create user","chromium","2026-08-11","passed","2026-08-11","","api/nn.spec.ts","",""
